Country,2003,2004,2004_2,2005,2005_2,2006,2007,2008,2008_2,2009,2010,2010_2,2011,2012,2012_2,2012_3,2013,2013_2,2014,2014_2,2015,2015_2,2015_3,2015_4,2015_5,2015_6,2016,2017,2017_2,2018,2018_2,2019,2019_2,2020,2020_2,2021,2021_2,2022,2022_2
AT,,,,0,,,0,0,,,,,,,,,0,,,,,,,,,,0,0,,,,1,,0,,0,0,,
BE,0,,,,,,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,0,,1,,0,,,,,
BG,,,,0,,,,,,0,,,,,,,0,0,0,0,,,,,,,,0,0,,,,,,,0,0,0,
CY,,0,,0,0,,,,,0,0,0,,,,,1,0,,,0,,,,,,0,,,0,,0,,0,,0,,0,
CZ,,,,0,,0,,,,0,0,,,,,,0,,0,,,,,,,,,0,,0,,,,,,0,,,
DE,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,0,,,
DK,,,,0,,,0,,,0,,,1,,,,,,,,0,,,,,,,,,,,1,,,,,,1,
EE,0,,,0,,,0,,,,,,0,,,,,,0,,0,,,,,,0,,,,,0,,,,1,,1,
GR,,0,,,,,0,,,0,,,0,0,0,,,,,,0,1,0,,,,,,,,,0,,,,,,,
ES,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,0,,,,,
FI,0,,,,,,0,,,,1,,0,,,,,,0,,0,,,,,,,,,,,0,1,,,,,,
FR,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,0,
HR,,,,,,,,,,,0,,,,,,,,,,1,,,,,,1,,,,,,,0,,,,,
HU,,0,,,,0,,,,0,0,,,,,,,,0,,,,,,,,,,,0,,,,,,,,0,
IE,,1,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,
IS,0,0,,,,0,0,,,1,,,,,,,0,,,,,,,,,,0,0,1,,,,,,,1,,,
IT,,,,0,,0,,0,,,,,0,,,,0,,0,,,,,,,,0,,,0,,0,,,,0,,1,
LI,,,,0,,,,,,0,,,,,,,0,,,,,,,,,,,0,,,,,,,,1,,,
LT,,0,,,,0,,0,,,,,,0,,,,,,,,,,,,,0,,,,,,,1,,,,,
LU,,0,,,,,0,,,0,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,
LV,1,,,,,,0,,,,,,0,,,,,,,,0,,,,,,,,,,,0,,,,,,,
MK,,,,,,,,0,,,,,0,,,,,,0,,,,,,,,,0,0,,,,,0,,,,,
MT,,0,,,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,
NL,0,,,,,0,0,,,,0,,,0,,,,,,,,,,,,,,0,,,,,,0,,,,,
NO,,,,0,,,,,,0,,,,,,,1,,,,,,,,,,,1,,,,,,,,0,,,
PL,,0,,0,,0,0,,,,,,0,,,,,,1,,1,,,,,,,0,,,,0,,,,,,,
PT,,0,,0,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,0,,,,,,0,
RO,,0,0,,,,,0,,,,,,0,0,0,,,,,0,0,0,0,0,0,0,0,,0,1,0,,0,0,0,,,
RS,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,0,0,,,,,,,,,,
SE,,,,,,0,,,,,0,,,,,,,,0,,,,,,,,,,,,,0,,,,0,,1,
SI,,0,,,,,,0,,,,,,0,,,1,,0,,,,,,,,,,,0,,,,0,,,,0,
SK,,,,,,0,,,,,1,,,0,,,,,,,,,,,,,0,,,0,,,,0,,0,,,
TR,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,
GB,,,,0,,,0,,,,0,,,,,,,,,,0,,,,,,1,,,,,0,,,,,,1,0
